選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0922,大一英文 Freshman English,全,3,33 156,Y305 AA301,強勇傑,語言中心,0,53,英文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
0923,大一英文 Freshman English,全,3,15 334,Y202 AA201,張玉芳,語言中心,0,38,英文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
0924,大一英文 Freshman English,全,3,33 156,Y403 AA401,劉芳礽,語言中心,0,38,英文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
0925,大一英文 Freshman English,全,3,34 156,Y402 AA203,陳櫻珊,語言中心,0,50,英文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
0926,大一英文 Freshman English,全,3,36 134,Y207 AA301,林雅文,語言中心,0,25,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0927,大一英文 Freshman English,全,3,35 134,Y302 AA202,陳昭良,語言中心,0,26,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0928,大一英文 Freshman English,全,3,35 134,Y307 AA302,周幸君,語言中心,0,42,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0929,大一英文 Freshman English,全,3,35 134,Y309 AA402,李順興,語言中心,0,52,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0930,大一英文 Freshman English,全,3,13 356,Y307 AA401,施以明,語言中心,0,42,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0931,大一英文 Freshman English,全,3,36 134,Y409 AA201,楊謦瑜,語言中心,0,36,中文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0932,大一英文 Freshman English,全,3,14 356,Y403 AA301,劉芳礽,語言中心,0,41,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0933,大一英文 Freshman English,全,3,42 256,Y410 AA302,阮秀莉,語言中心,0,31,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0934,大一英文 Freshman English,全,3,25 412,Y403 AA203,潘衍至,語言中心,0,32,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0935,大一英文 Freshman English,全,3,42 256,Y301 AA203,莊惠婷,語言中心,0,45,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0936,大一英文 Freshman English,全,3,42 256,Y212 AA303,朱崇儀,語言中心,0,43,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0937,大一英文 Freshman English,全,3,42 256,Y309 AA402,謝心怡,語言中心,0,56,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0938,大一英文 Freshman English,全,3,42 256,Y403 AA401,劉芳礽,語言中心,0,47,英文,限法律.昆蟲.獸醫A.獸醫B.土環.食生.資工.資管選修
0939,大一英文 Freshman English,全,3,39 567,Y402 AA203,陳櫻珊,語言中心,0,24,英文,
0940,大一英文 Freshman English,全,3,2A 1AB,Y304 AA301,吳佩如,語言中心,0,55,英文,
1532,大一英文 Freshman English,全,3,3ABC,Y305 AA201,廖秀芬,夜不限系別,60,33,英文,限文創學程進修學士班選修
1533,大一英文 Freshman English,全,3,3ABC,Y309 AA301,陳國豪,夜不限系別,50,32,英文,限創經學程進修學士班選修
1530,大一英文 Freshman English,全,3,5ABC,Y206 AA201,謝怡帆,夜不限系別,50,39,英文,限中國文學系進修學士班選修
1531,大一英文 Freshman English,全,3,5ABC,Y410 AA203,廖秀芬,夜不限系別,50,47,英文,限生管學程進修學士班選修
